vlm_rdm,brain_network,correlation,p_value
one_word,languageLH,0.11459008593528273,3.189546519233335e-48
one_word,visual,0.11856928913744268,1.5815537355515625e-51
one_general,languageLH,0.11380991248022135,1.374625556509872e-47
one_general,visual,0.08907377189821973,9.607033041798881e-30
one_distinct,languageLH,0.023081768916637824,0.00339157834255457
one_distinct,visual,0.004871234352981106,0.536418488107021
five_general,languageLH,0.12565235028655436,1.0759399953955006e-57
five_general,visual,0.12502272718896273,3.933921927037889e-57
five_distinct,languageLH,0.08105362424134088,6.765907954233426e-25
five_distinct,visual,0.05986506062433498,2.857548963108116e-14
